code,P_ECS,P_VEN,P_SAS,P_SPI,V_VEN,V_SPI,V_ECS,V_All,V_A,V_C,V_V,V_Vessel,V_SAS,V_PAS,V_brain,Q_VEN,Q_SPI,Q_SAS,Q_SLS,Q_SSS,Q_OLS,Q_out,Q_GS,Q_ECS,Q_BBB,Q_A,P_A,SW_P_ECS,SW_P_SAS,SW_P_VEN,SW_V_VEN,SW_V_SPI,SW_V_Vessel,SW_V_A,SW_V_C,SW_V_V,SW_Q_VEN,SW_Q_SPI,SW_Q_A,SW_P_A
S_WAVE_RADIAL,0.1830,0.0694,0.0777,0.0777,-0.0143,0.0072,-0.0038,NaN,0.0209,0.0430,0.0053,0.0157,-0.0031,-0.0312,NaN,-0.0001,-0.3928,0.1291,0.5416,0.5952,0.1540,0.3789,1.1069,1.6073,3.5028,0.8022,0.7392,16.4202,37.5738,16.4055,18.3611,18.3915,16.5734,21.8972,39.5055,43.5336,18.1151,41.8812,38.4033,24.1683
S_WAVE_CENTRAL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
S_WAVE_AMP120,0.0955,-0.0005,-0.0005,-0.0006,-0.0133,-0.0001,0.0019,NaN,0.0019,0.0130,0.0015,0.0033,-0.0028,-0.0169,NaN,0.0000,0.6785,-0.2231,-0.0039,0.2738,0.0708,0.1173,1.3973,1.3096,1.0570,0.2606,0.2401,14.5995,12.9985,14.5927,17.6914,15.7823,14.7508,8.6125,15.6987,15.7994,15.7023,17.8243,21.8602,10.3668
S_WAVE_AMP080,-0.0609,0.0417,0.0467,0.0466,0.0150,0.0044,-0.0059,NaN,0.0096,0.0017,0.0003,0.0035,0.0032,0.0112,NaN,0.0000,0.9897,-0.3255,0.3246,-0.1328,-0.0344,0.0155,-1.7810,-1.3681,0.1417,0.0010,0.0009,-19.9322,-19.9319,-19.9322,-19.9482,-19.9360,-19.9590,-19.7864,-20.0974,-19.9278,-19.9303,-20.0245,-20.2404,-19.7133
S_PVI_20,0.0020,0.0086,0.0096,0.0096,0.0011,-0.0188,-0.0114,NaN,0.0003,-0.0001,-0.0000,0.0001,0.0002,0.0011,NaN,0.0000,-0.5812,0.1912,0.0672,0.0144,0.0037,0.0217,-0.1208,-0.0822,-0.0045,-0.0000,0.0000,15.5419,16.6758,15.5366,12.4019,12.4786,-3.8130,-1.5476,-3.0247,-5.6019,12.6149,12.9706,-0.6621,0.0000
S_PVI_30,0.0014,-0.0038,-0.0043,-0.0043,-0.0008,0.0190,0.0114,NaN,-0.0002,-0.0000,-0.0000,-0.0001,-0.0002,-0.0008,NaN,-0.0000,0.3711,-0.1221,-0.0300,0.0001,0.0000,-0.0067,0.0884,0.0676,-0.0031,-0.0000,0.0000,-11.8027,-12.2370,-11.8030,-10.1013,-10.1259,2.8722,1.1601,2.2564,4.4816,-10.2788,-10.4492,0.4713,0.0000
S_HR_60,-0.0014,0.0036,0.0040,0.0040,0.0008,0.0003,-0.0009,NaN,0.0009,0.0009,0.0001,0.0005,0.0002,0.0003,NaN,0.0000,0.4936,-0.1623,0.0277,-0.0003,-0.0001,0.0060,-0.1065,-0.0651,0.0702,0.0138,0.0127,6.3204,-9.2737,6.3109,35.5625,9.8305,7.4655,-0.9867,-1.3972,-3.9753,9.6618,-10.6428,-15.8048,-0.0688
S_HR_90,0.0031,0.0017,0.0019,0.0019,-0.0002,0.0002,0.0003,NaN,0.0007,0.0008,0.0001,0.0004,-0.0000,-0.0007,NaN,-0.0000,-0.1519,0.0499,0.0134,0.0108,0.0028,0.0077,0.0057,0.0210,0.0618,0.0141,0.0130,-6.6258,6.5086,-6.6267,-23.6626,-9.4814,-7.4905,0.4577,0.7613,1.4957,-9.4327,6.3832,14.5602,-0.1777
S_RFM_0.002,-0.0017,-0.0029,-0.0031,0.0024,-0.0002,0.0002,0.0001,NaN,-0.0001,0.0000,0.0000,-0.0000,-0.0000,-0.0002,NaN,-0.0009,7.6452,-2.5155,0.0168,-0.0077,-0.0020,0.0003,0.0179,0.0124,0.0038,0.0000,0.0000,-2.2055,-59.9038,-2.2371,7.8036,9.4873,1.6502,0.3904,1.1545,-1.1211,9.6496,9.8195,0.3217,0.0000
S_RFM_0.05,0.0080,0.0155,0.0173,-0.0114,0.0013,-0.0009,-0.0011,NaN,0.0002,-0.0002,-0.0001,-0.0000,0.0003,0.0014,NaN,0.0001,1.1812,-0.3884,-0.0793,0.0384,0.0099,-0.0012,-0.1044,-0.0869,-0.0180,-0.0000,0.0000,11.0174,148.1012,11.0231,-48.6573,-49.4413,-4.1078,-1.0674,-1.7944,-8.5264,-49.7829,-49.5721,-0.3498,0.0000
