signal,B,Ven_R2,Ven_R7.5
P_ECS,     10.323952,     10.324653,     10.324860
P_VEN,     11.758907,     13.079612,     19.839819
P_SAS,     10.508909,     10.509613,     10.509820
P_SPI,     10.508166,     10.508871,     10.509078
V_VEN,     24.911652,     25.351653,     27.604986
V_SPI,     80.077325,     80.077827,     80.077974
V_ECS,    198.017307,    197.577635,    195.324401
V_All,           NaN,           NaN,           NaN
Q_VEN,      0.300000,      0.300000,      0.300000
Q_SPI,      0.074244,      0.074234,      0.074231
Q_SAS,      0.225755,      0.225766,      0.225769
Q_SLS,      0.075408,      0.075444,      0.075454
Q_SSS,      0.104737,      0.104763,      0.104771
Q_OLS,      0.155668,      0.155678,      0.155681
Q_out,      0.335812,      0.335886,      0.335907
Q_GS,      0.133725,      0.133729,      0.133730
Q_BBB,      0.035915,      0.035909,      0.035908
Q_A,    718.959521,    718.959519,    718.959518
P_VEN-P_SAS,      1.249998,      2.569999,      9.329998
swing_P_VEN,      2.034792,      2.034188,      2.033739
swing_V_VEN,      0.000756,      0.000368,      0.000101
swing_Q_VEN,      0.377944,      0.183951,      0.050694
swing_P_ECS,      2.034071,      2.033835,      2.033641
aqueduct_SV_uL,      0.743676,      0.361938,      0.099740
