series,code,mat_time,StopTime,ncycles,E_A,P_A,P_C,P_ECS,P_PAS,P_PNS,P_SAS,P_SPI,P_V,P_VEN,Q_A,Q_BBB,Q_ECS,Q_GS,Q_OLS,Q_PAS,Q_PNS,Q_SAS,Q_SASE,Q_SLS,Q_SPI,Q_SSS,Q_VEN,Q_out,R_IEG,V_ECS,V_PAS,V_SAS,V_SPI,V_VEN,V_Vessel,dV_Vessel,grad_ECS_SPI,grad_VEN_SAS,pct_Q_OLS,pct_Q_SLS,pct_Q_SSS,sw_P_A,sw_P_ECS,sw_P_SAS,sw_P_VEN,sw_Q_A,sw_Q_SPI,sw_V_ECS,sw_V_SAS,sw_V_SPI,sw_V_VEN,sw_V_Vessel
A3_series,HA_C,2026-09-19 15:23:36,15000,18750,30.8459,115.386,35.0385,21.0031,20.9907,20.8686,21.1304,21.1292,18.9744,22.3804,882.937,-0.00753616,0.111211,0.11868,0.0642103,0.122567,0.114999,0.181787,0.0561578,0.121292,0.118212,0.106947,0.299999,0.29245,0.8835,201.273,20.9702,35.0127,85.3097,24.8924,139.28,-0.719593,-0.126121,1.25,21.956,41.4746,36.5693,54.0485,4.58175,1.98139,4.58269,1056.26,169.096,0.00232013,0.317749,0.320159,0.00151083,1.03362
A3_series,H_C,2026-09-19 15:23:37,9000,11250,60.4579,115.386,35.037,20.9371,20.97,20.8121,21.1029,21.1017,18.9738,22.3529,723.732,-0.00843794,0.103277,0.111696,0.0640367,0.116636,0.108174,0.18197,0.0623585,0.121017,0.11803,0.106495,0.299999,0.29155,0.855,201.536,21.4791,35.0166,83.1797,24.9053,137.491,-2.50917,-0.164671,1.25,21.9642,41.5083,36.5273,54.0485,4.13274,1.93309,4.13324,618.788,152.295,0.00104514,0.254296,0.255944,0.00118805,0.641337
A3_series,H_G2_C_OVS2.5_Ven_E0.25,2026-09-19 15:23:38,10000,12500,60.4579,115.386,35.0355,15.3087,15.3318,15.1368,15.4501,15.4489,18.9731,16.7001,723.745,0.0443143,0.142073,0.0977101,0.0931477,0.103828,0.148122,0.173879,0.0672099,0.128978,0.12612,0.122184,0.299999,0.34431,0.862125,199.116,21.4453,35.0141,81.7782,26.2886,137.93,-2.06981,-0.140218,1.25,27.0534,37.4598,35.4866,54.0485,3.43999,1.5169,3.44011,612.344,133.439,0.0010421,0.228257,0.229515,0.00107025,0.668487
A3_series,H_G2_Ven_R7.5,2026-09-19 15:23:38,6500,8125,60.4579,115.386,35.0343,10.829,10.8599,10.5948,10.9914,10.9905,18.9726,20.321,723.756,0.0863005,0.193489,0.107153,0.162992,0.115415,0.201709,0.202975,0.0850621,0.0995234,0.0970112,0.123779,0.299986,0.386296,0.855,196.777,21.4227,35.0162,80.2478,27.5973,138.281,-1.71931,-0.161512,9.32956,42.1935,25.7635,32.0426,54.0485,2.76889,1.16435,2.76896,607.773,111,0.0010518,0.19593,0.196988,0.000123682,0.698143
C_series,C_O2.5,2026-09-19 15:23:39,3000,3750,28.4321,95.3464,29.9212,11.216,11.2226,11.0481,11.3546,11.3534,16.8422,12.6046,718.958,0.0289467,0.13877,0.110341,0.067987,0.115797,0.144181,0.182794,0.0657218,0.117671,0.117204,0.141915,0.299999,0.327554,0.862125,198.452,21.0059,35.0139,80.6569,24.8962,139.951,-0.0490167,-0.137366,1.24999,20.756,35.9241,43.3258,31.8826,2.15408,0.828819,2.15481,650.79,79.3689,0.0018436,0.165354,0.166766,0.000793329,0.800246
C_series,C_O5,2026-09-19 15:23:40,3000,3750,28.4321,95.3464,29.9213,11.5508,11.5506,11.3969,11.6719,11.6705,16.8422,12.9219,718.957,0.026332,0.127193,0.101566,0.0350666,0.106399,0.13196,0.166668,0.0589734,0.133527,0.133332,0.155866,0.3,0.324434,0.862125,198.61,21.0079,35.0121,80.8633,24.8904,139.898,-0.101885,-0.119742,1.25,10.8086,41.1569,48.0426,31.8826,2.19762,0.846505,2.19835,651.185,80.7512,0.00182819,0.168155,0.169595,0.000806627,0.796794
C_series,C_OS2.5,2026-09-19 15:23:40,4000,5000,28.4321,95.3464,29.9214,12.1642,12.1936,11.9691,12.3617,12.361,16.8422,13.6116,718.956,0.0215403,0.161256,0.14045,0.0736543,0.147451,0.168219,0.232974,0.0841887,0.0672207,0.0670126,0.178753,0.299986,0.319609,0.847875,198.828,21.0234,35.0197,81.2939,24.9158,139.806,-0.194312,-0.196797,1.24994,23.0451,21.0322,55.9287,31.8826,2.27712,0.87949,2.27785,651.935,83.1681,0.00188243,0.173091,0.174532,0.000829741,0.79119
C_series,C_OS5,2026-09-19 15:23:41,12000,15000,28.4321,95.3464,29.9216,13.3529,13.3931,13.1506,13.5784,13.5779,16.8423,14.8284,718.953,0.0122554,0.167216,0.154955,0.0404624,0.16249,0.174739,0.255608,0.0917345,0.0457793,0.0443921,0.226011,0.3,0.312254,0.847875,199.297,21.0404,35.0225,81.9973,24.9252,139.622,-0.378254,-0.225014,1.25,12.9582,14.6609,72.3807,31.8826,2.42192,0.94019,2.42265,653.41,87.5048,0.00189112,0.18204,0.183401,0.000871402,0.780399
C_series,C_OV2.5,2026-09-19 15:23:42,9000,11250,28.4321,95.3464,29.9214,12.3213,12.3061,12.1972,12.4037,12.402,16.8423,13.6537,718.956,0.0203133,0.102556,0.0821717,0.0750587,0.0856257,0.105932,0.13123,0.0442791,0.170099,0.16877,0.0751525,0.3,0.320311,0.876375,198.961,21.0127,35.0082,81.3187,24.8775,139.777,-0.223418,-0.0806695,1.25,23.4331,53.1044,23.4624,31.8826,2.29134,0.885008,2.29207,652.08,83.6585,0.00181653,0.174101,0.175535,0.00083448,0.788133
C_series,C_OV5,2026-09-19 15:23:44,12000,15000,28.4321,95.3464,29.9216,13.4468,13.4089,13.3684,13.471,13.4688,16.8423,14.721,718.953,0.0115217,0.0648102,0.0532909,0.0411332,0.0545485,0.0660644,0.0779402,0.0220153,0.223441,0.22206,0.0469464,0.3,0.311521,0.8835,199.452,21.0195,35.0024,81.9369,24.8581,139.599,-0.401089,-0.0219813,1.25,13.204,71.7259,15.0701,31.8826,2.42522,0.940825,2.42595,653.474,87.7034,0.00177115,0.182454,0.183827,0.00087327,0.777321
